Severity,Name,Status,Exploitability,Last Seen,Source,Location
HIGH,CVE-2026-33036,NEW,0,2026-03-22T17:42:12.640Z,SCA,fast-xml-parser:5.4.1
HIGH,CVE-2026-33228,NEW,0,2026-03-22T17:42:12.664Z,SCA,flatted:3.4.1
HIGH,CVE-2026-27601,EXISTING,0,2026-03-22T17:42:12.666Z,SCA,underscore:1.13.1
LOW,CVE-2026-24001,EXISTING,0,2026-03-22T17:42:12.667Z,SCA,diff:7.0.0
LOW,CVE-2025-14505,EXISTING,1,2026-03-22T17:42:12.668Z,SCA,elliptic:6.6.1
HIGH,GHSA-5c6j-r48x-rmvq,EXISTING,0,2026-03-22T17:42:12.669Z,SCA,serialize-javascript:6.0.2
MEDIUM,CVE-2026-33349,NEW,0,2026-03-22T17:42:12.690Z,SCA,fast-xml-parser:5.4.1
MEDIUM,CVE-2026-2327,EXISTING,0,2026-03-22T17:42:12.667Z,SCA,markdown-it:13.0.2
