Severity,Name,Status,Exploitability,Last Seen,Source,Location
LOW,CVE-2026-24001,EXISTING,1,2026-03-11T22:09:20.813Z,SCA,diff:7.0.0
LOW,CVE-2025-6011,EXISTING,80,2026-03-11T22:09:20.815Z,SCA,github.com/hashicorp/vault:
LOW,CVE-2025-68157,EXISTING,0,2026-03-11T22:09:20.817Z,SCA,webpack:5.94.0
MEDIUM,CVE-2026-25934,EXISTING,0,2026-03-11T22:09:20.818Z,SCA,github.com/go-git/go-git/v5:v5.14.0
LOW,CVE-2025-7339,EXISTING,15,2026-03-11T22:09:20.819Z,SCA,on-headers:1.0.2
CRITICAL,GHSA-hcfh-22r5-mc4r,EXISTING,0,2026-03-11T22:09:20.820Z,SCA,@hashicorp-internal/vault-reporting:
HIGH,GHSA-5c6j-r48x-rmvq,NEW,0,2026-03-11T22:09:20.842Z,SCA,serialize-javascript:3.1.0
LOW,CVE-2025-54798,EXISTING,0,2026-03-11T22:09:20.692Z,SCA,tmp:0.0.28
LOW,CVE-2025-54798,EXISTING,0,2026-03-11T22:09:20.693Z,SCA,tmp:0.0.33
LOW,CVE-2025-54798,EXISTING,0,2026-03-11T22:09:20.694Z,SCA,tmp:0.1.0
LOW,CVE-2026-24001,EXISTING,0,2026-03-11T22:09:20.812Z,SCA,diff:5.2.0
LOW,CVE-2025-68458,EXISTING,0,2026-03-11T22:09:20.818Z,SCA,webpack:5.94.0
LOW,GHSA-wxhq-pm8v-cw75,EXISTING,0,2026-03-11T22:09:20.846Z,SCA,clean-css:3.4.28
