Severity,Name,Status,Exploitability,Last Seen,Source,Location
MEDIUM,CVE-2024-45231,EXISTING,15,2026-04-02T00:53:38.716Z,SCA,Django:3.0.0
MEDIUM,CVE-2025-48432,EXISTING,15,2026-04-02T00:53:38.716Z,SCA,Django:3.0.0
HIGH,CVE-2025-12758,EXISTING,50,2026-04-02T00:53:38.717Z,SCA,validator:9.4.1
HIGH,CVE-2021-31542,EXISTING,25,2026-04-02T00:53:38.717Z,SCA,Django:3.0.0
HIGH,CVE-2022-21724,EXISTING,1,2026-04-02T00:53:38.717Z,SCA,postgresql:42.1.4
HIGH,CVE-2020-13692,EXISTING,25,2026-04-02T00:53:38.717Z,SCA,postgresql:42.1.4
HIGH,CVE-2026-27904,EXISTING,1,2026-04-02T00:53:38.718Z,SCA,minimatch:3.0.4
HIGH,CVE-2024-21538,EXISTING,50,2026-04-02T00:53:38.718Z,SCA,cross-spawn:7.0.3
HIGH,CVE-2024-21489,EXISTING,35,2026-04-02T00:53:38.718Z,SCA,uplot:1.6.19
HIGH,CVE-2024-45296,EXISTING,15,2026-04-02T00:53:38.718Z,SCA,path-to-regexp:1.8.0
LOW,CVE-2025-14505,EXISTING,50,2026-04-02T00:53:38.719Z,SCA,elliptic:6.5.4
MEDIUM,CVE-2026-33532,NEW,65,2026-04-02T00:53:38.719Z,SCA,yaml:1.10.2
MEDIUM,CVE-2024-45339,EXISTING,15,2026-04-02T00:53:38.719Z,SCA,github.com/golang/glog:v1.1.0
MEDIUM,CVE-2026-2739,EXISTING,5,2026-04-02T00:53:38.719Z,SCA,bn.js:5.2.2
HIGH,CVE-2026-27903,EXISTING,15,2026-04-02T00:53:38.720Z,SCA,minimatch:5.1.6
HIGH,CVE-2022-24999,EXISTING,15,2026-04-02T00:53:38.720Z,SCA,qs:6.4.0
LOW,CVE-2024-48949,EXISTING,1,2026-04-02T00:53:38.720Z,SCA,elliptic:6.5.4
HIGH,CVE-2025-57833,EXISTING,15,2026-04-02T00:53:38.721Z,SCA,Django:3.0.0
LOW,CVE-2025-54798,EXISTING,1,2026-04-02T00:53:38.721Z,SCA,tmp:0.0.33
HIGH,CVE-2022-36359,EXISTING,50,2026-04-02T00:53:38.721Z,SCA,Django:3.0.0
CRITICAL,CVE-2019-10744,EXISTING,1,2026-04-02T00:53:38.721Z,SCA,lodash:4.17.11
MEDIUM,CVE-2020-7598,EXISTING,25,2026-04-02T00:53:38.721Z,SCA,minimist:1.2.0
HIGH,CVE-2019-10790,EXISTING,1,2026-04-02T00:53:38.722Z,SCA,taffydb:2.6.2
HIGH,CVE-2024-37890,EXISTING,50,2026-04-02T00:53:38.722Z,SCA,ws:6.2.2
HIGH,CVE-2021-23337,EXISTING,50,2026-04-02T00:53:38.722Z,SCA,lodash:4.17.20
HIGH,CVE-2017-16138,EXISTING,10,2026-04-02T00:53:38.722Z,SCA,mime:1.3.4
MEDIUM,CVE-2025-47914,EXISTING,15,2026-04-02T00:53:38.722Z,SCA,golang.org/x/crypto:v0.44.0
MEDIUM,CVE-2020-28500,EXISTING,50,2026-04-02T00:53:38.723Z,SCA,lodash:4.17.11
MEDIUM,CVE-2021-23382,EXISTING,1,2026-04-02T00:53:38.723Z,SCA,postcss:5.2.18
LOW,CVE-2025-7339,EXISTING,5,2026-04-02T00:53:38.723Z,SCA,on-headers:1.0.2
HIGH,CVE-2025-66031,EXISTING,1,2026-04-02T00:53:38.723Z,SCA,node-forge:0.10.0
LOW,CVE-2022-26520,EXISTING,50,2026-04-02T00:53:38.724Z,SCA,postgresql:42.1.4
HIGH,CVE-2024-45590,EXISTING,1,2026-04-02T00:53:38.724Z,SCA,body-parser:1.20.1
CRITICAL,CVE-2021-23436,EXISTING,1,2026-04-02T00:53:38.724Z,SCA,immer:8.0.1
HIGH,CVE-2022-21681,EXISTING,1,2026-04-02T00:53:38.724Z,SCA,marked:0.3.19
LOW,CVE-2024-43799,EXISTING,15,2026-04-02T00:53:38.724Z,SCA,send:0.18.0
