Severity,Name,Status,Exploitability,Last Seen,Source,Location
CRITICAL,CVE-2021-23358,EXISTING,50,2026-03-14T14:07:19.184Z,SCA,underscore:1.9.2
CRITICAL,CVE-2021-44906,EXISTING,5,2026-03-14T14:07:19.185Z,SCA,minimist:0.0.10
MEDIUM,CVE-2020-7598,EXISTING,50,2026-03-14T14:07:19.186Z,SCA,minimist:0.0.10
HIGH,CVE-2026-26996,EXISTING,0,2026-03-14T14:07:19.187Z,SCA,minimatch:3.0.8
HIGH,CVE-2026-27903,EXISTING,0,2026-03-14T14:07:19.187Z,SCA,minimatch:3.0.8
HIGH,CVE-2026-27904,EXISTING,0,2026-03-14T14:07:19.187Z,SCA,minimatch:3.0.8
HIGH,CVE-2026-27601,NEW,0,2026-03-14T14:07:19.202Z,SCA,underscore:1.9.2
